GMT-4,2060006b,2070001,2070002,2070002b,2070002c,2070003,2070004,2070005,2070006,2070007,2070008,2070008b,2070009,2070010,2070010b,2070011
,MASP,MASP,MASP,MASP,MASP,MASP,MASP,MASP,MASP,MASP,MASP,MASP,MASP,MASP,MASP,MASP
2019-09-08 20:00:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2019-09-09 20:00:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2019-09-10 20:00:00,0.038,0.003,0,0.004,0,0,0,0.002,0,0,0.001,0.004,0,0.03,0,0.006
2019-09-11 20:00:00,0,0.007,0.013,0.025,0.027,0,0,0.013,0.003,0,0,0,0,0,0,0.009
2019-09-12 20:00:00,0,0.05,0.015,0.06,0.016,0.001,0,0,0,0,0,0,0,0,0,0.004
2019-09-13 20:00:00,0,0.007,0,0.001,0,0,0,0.024,0.005,0,0,0,0,0,0,0.008
2019-09-14 20:00:00,0,0.03,0.036,0.028,0.124,0.005,0.003,0.005,0.001,0,0,0,0,0,0,0
2019-09-15 20:00:00,0,0.003,0.002,0.004,0,0,0,0.004,0,0,0,0,0,0,0,0.005
2019-09-16 20:00:00,0,0,0.002,0,0,0,0,0.001,0,0,0,0,0,0,0,0.005
2019-09-17 20:00:00,0,0.003,0.001,0.004,0,0,0,0.003,0,0,0,0,0,0,0,0.007
2019-09-18 20:00:00,0,0.003,0,0.004,0,0,0,0.003,0,0,0,0,0,0,0,0
2019-09-19 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001
2019-09-20 20:00:00,0.003,0.005,0.002,0.004,0.001,0,0,0.01,0.003,0,0.001,0.003,0,0,0,0.008
2019-09-21 20:00:00,0.133,0.006,0.004,0.009,0.002,0,0,0.002,0,0,0.008,0.011,0,0.115,0,0.001
2019-09-22 20:00:00,0.001,0.001,0,0.003,0,0,0,0,0,0,0,0,0,0.001,0,0.01
2019-09-23 20:00:00,0,0.033,0.012,0.047,0.008,0,0,0.007,0,0,0,0,0,0,0,0
2019-09-24 20:00:00,0,0.004,0.005,0.011,0.008,0,0,0,0,0,0,0,0,0,0,0.008
2019-09-25 20:00:00,0,0.003,0,0.003,0,0,0,0.009,0.002,0,0,0,0,0,0,0.003
2019-09-26 20:00:00,0.002,0.022,0.012,0.031,0.026,0,0,0.004,0,0,0,0,0,0.002,0,0.009
2019-09-27 20:00:00,0.008,0.003,0.002,0.004,0,0,0,0.006,0.002,0,0,0,0,0.006,0,0.001
2019-09-28 20:00:00,0,0.005,0.001,0.018,0.001,0,0,0.016,0.002,0,0,0,0,0,0.003,0.011
2019-09-29 20:00:00,0,0.042,0.01,0.045,0.004,0,0,0.063,0.032,0,0,0,0,0.001,0,0
2019-09-30 20:00:00,0.09,0.444,0.476,0.649,0.499,0.492,0.214,0.388,0.507,0.36,0.324,0.223,0.044,0.169,0.296,0.176
2019-10-01 20:00:00,0,0,0,0,0,0,0,0,0,0.003,0.006,0,0,0.001,0,0
2019-10-02 20:00:00,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0
2019-10-03 20:00:00,0,0,0.032,0,0,0.019,0.219,0,0,0,0.003,0,0.247,0,0,0
2019-10-04 20:00:00,0,0,0.006,0.008,0.002,0.002,0.015,0,0,0,0,0,0.002,0,0,0
2019-10-05 20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-06 20:00:00,0.13,0.158,0.143,0.204,0.16,0.042,0.057,0.047,0.077,0.253,0.167,0.112,0.267,0.007,0.013,0
2019-10-07 20:00:00,0,0.803,0.853,1.039,0.9,0.783,0.723,0.316,0.681,0.609,0.238,0.013,0.385,0,0.004,0
2019-10-08 20:00:00,0.177,0.801,0.285,0.257,0.153,0.469,0.338,0.61,0.555,0.271,0.263,0.261,0.456,0.049,0.109,0.045
2019-10-09 20:00:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
